,Fecha,P
0,2026-05-01,26459286.24
1,2026-05-02,24454057.07
2,2026-05-03,23804997.5
3,2026-05-04,25599045.74
4,2026-05-05,26532997.98
5,2026-05-06,26896842.88
6,2026-05-07,27103027.82
7,2026-05-08,27693303.1
8,2026-05-09,27367836.21
9,2026-05-10,26890554.92
10,2026-05-11,27513081.86
11,2026-05-12,26841818.44
12,2026-05-13,26900257.02
13,2026-05-14,27278785.12
14,2026-05-15,27882268.84
15,2026-05-16,28190354.9
16,2026-05-17,26316021.74
